Temperature, Rainfall, Humidity, Made-up
61.00,28.00,55.00,65.80
27.00,55.00,86.00,78.90
67.00,69.00,23.00,61.30
55.00,79.00,79.00,93.10
25.00,98.00,72.00,82.60
27.00,60.00,40.00,52.80
40.00,93.00,82.00,93.10
33.00,58.00,75.00,75.60
85.00,95.00,73.00,106.30
79.00,50.00,47.00,74.80
79.00,21.00,22.00,51.10
39.00,22.00,76.00,67.80
25.00,85.00,78.00,82.30
81.00,96.00,63.00,99.00
90.00,76.00,61.00,95.40
58.00,31.00,27.00,48.70
49.00,40.00,34.00,52.00
60.00,35.00,43.00,60.30
63.00,85.00,56.00,84.30
28.00,32.00,28.00,37.60
46.00,54.00,57.00,68.80
36.00,52.00,96.00,87.60
82.00,74.00,44.00,81.40
48.00,35.00,35.00,50.70
96.00,30.00,25.00,62.40
65.00,83.00,77.00,97.10
80.00,63.00,51.00,81.50
85.00,96.00,78.00,109.60
83.00,42.00,83.00,95.60
84.00,25.00,72.00,84.30
54.00,60.00,80.00,87.60
62.00,70.00,97.00,104.00
79.00,63.00,57.00,84.70
58.00,81.00,43.00,73.30
30.00,40.00,72.00,67.20
86.00,89.00,23.00,74.90
80.00,35.00,49.00,71.90
69.00,60.00,85.00,96.60
42.00,48.00,94.00,87.60
36.00,99.00,49.00,73.50
58.00,98.00,22.00,65.80
56.00,90.00,91.00,104.00
57.00,95.00,88.00,104.10
21.00,30.00,30.00,35.40
80.00,86.00,80.00,105.80
21.00,80.00,83.00,82.20
92.00,28.00,89.00,98.60
78.00,51.00,29.00,63.90
38.00,32.00,36.00,46.40
90.00,81.00,58.00,95.10
56.00,30.00,72.00,74.60
44.00,26.00,21.00,38.00
68.00,99.00,35.00,77.90
55.00,24.00,63.00,67.00
45.00,27.00,45.00,53.10
30.00,28.00,51.00,51.00
71.00,65.00,45.00,74.90
52.00,76.00,22.00,56.80
68.00,40.00,86.00,90.80
76.00,35.00,57.00,75.10
60.00,70.00,32.00,64.20
41.00,59.00,21.00,46.70
83.00,40.00,21.00,57.80
99.00,61.00,53.00,89.70
71.00,72.00,95.00,107.00
49.00,68.00,86.00,91.60
21.00,96.00,79.00,84.60
47.00,31.00,51.00,58.70
90.00,69.00,100.00,116.70
34.00,71.00,26.00,50.50
68.00,81.00,71.00,94.10
22.00,33.00,64.00,57.10
54.00,61.00,35.00,60.90
67.00,41.00,45.00,66.10
94.00,81.00,20.00,73.90
91.00,99.00,66.00,105.70
57.00,25.00,95.00,87.30
38.00,66.00,65.00,74.00
73.00,47.00,45.00,70.30
83.00,52.00,54.00,81.20
41.00,36.00,44.00,53.60
88.00,82.00,27.00,76.00
43.00,47.00,28.00,48.10
23.00,24.00,94.00,72.80
26.00,98.00,31.00,58.40
81.00,44.00,24.00,60.00
53.00,96.00,72.00,93.20
30.00,84.00,91.00,91.80
29.00,42.00,41.00,48.80
61.00,27.00,66.00,72.10
47.00,82.00,24.00,57.80
25.00,63.00,98.00,87.70
54.00,65.00,73.00,84.90
54.00,79.00,71.00,87.90
98.00,78.00,94.00,119.00
35.00,41.00,53.00,58.10
56.00,22.00,26.00,44.60
86.00,30.00,99.00,102.80
76.00,23.00,96.00,94.90
64.00,90.00,80.00,100.60
42.00,99.00,46.00,74.10
47.00,66.00,31.00,57.20
72.00,78.00,73.00,96.00
34.00,33.00,99.00,82.90
67.00,74.00,51.00,79.60
64.00,94.00,35.00,74.80
42.00,87.00,52.00,74.10
89.00,81.00,74.00,104.30
92.00,90.00,93.00,119.60
86.00,64.00,99.00,113.00
76.00,20.00,68.00,77.20
95.00,69.00,42.00,83.90
53.00,77.00,46.00,71.90
45.00,34.00,83.00,78.00
54.00,66.00,30.00,59.40
36.00,34.00,25.00,39.60
65.00,96.00,23.00,68.60
78.00,93.00,95.00,116.10
50.00,35.00,66.00,70.10
94.00,35.00,67.00,88.30
77.00,76.00,57.00,87.80
95.00,61.00,66.00,95.90
99.00,96.00,97.00,126.60
20.00,28.00,37.00,38.60
70.00,25.00,34.00,55.90
20.00,74.00,57.00,64.40
26.00,39.00,53.00,53.90
65.00,74.00,93.00,104.00
54.00,83.00,98.00,105.30
26.00,25.00,88.00,70.70
69.00,80.00,41.00,76.20
41.00,75.00,93.00,94.70
68.00,64.00,99.00,105.80
88.00,66.00,90.00,109.00
81.00,88.00,39.00,82.20
65.00,34.00,32.00,55.40
85.00,59.00,38.00,74.50
34.00,83.00,67.00,78.70
92.00,22.00,47.00,71.60
92.00,59.00,78.00,101.30
72.00,25.00,66.00,75.90
94.00,68.00,25.00,73.00
65.00,82.00,91.00,105.20
65.00,96.00,48.00,83.60
29.00,54.00,24.00,42.20
68.00,52.00,60.00,78.80
57.00,71.00,85.00,95.10
72.00,95.00,52.00,88.50
39.00,21.00,27.00,38.10
39.00,54.00,37.00,54.00
77.00,32.00,45.00,67.40
89.00,88.00,45.00,89.00
36.00,97.00,21.00,56.10
26.00,78.00,46.00,61.40
73.00,96.00,87.00,110.20
23.00,45.00,72.00,65.90
69.00,43.00,34.00,60.90
85.00,55.00,96.00,108.10
81.00,97.00,75.00,106.50
68.00,72.00,85.00,99.80
21.00,22.00,64.00,53.40
50.00,22.00,95.00,83.60
53.00,93.00,28.00,65.90
85.00,100.00,32.00,83.20
56.00,58.00,47.00,68.00
42.00,61.00,44.00,61.50
56.00,82.00,38.00,69.80
96.00,43.00,59.00,86.70
46.00,75.00,56.00,74.50
76.00,21.00,71.00,79.30
89.00,72.00,32.00,76.40
45.00,72.00,90.00,93.60
47.00,95.00,79.00,94.70
98.00,50.00,31.00,72.80
69.00,32.00,54.00,69.60
49.00,32.00,59.00,64.60
76.00,48.00,64.00,83.20
76.00,51.00,62.00,82.90
34.00,71.00,49.00,64.30
71.00,34.00,83.00,88.40
22.00,48.00,86.00,74.80
84.00,78.00,73.00,100.80
24.00,93.00,24.00,51.90
37.00,81.00,82.00,88.30
49.00,77.00,82.00,91.90
88.00,72.00,97.00,115.00
32.00,46.00,80.00,74.60
82.00,85.00,63.00,96.10
39.00,45.00,99.00,88.50
37.00,92.00,26.00,58.00
99.00,26.00,94.00,103.80
60.00,85.00,29.00,66.90
75.00,93.00,78.00,104.70
34.00,40.00,42.00,50.80
81.00,52.00,33.00,67.80
70.00,44.00,91.00,95.80
88.00,55.00,96.00,109.30
42.00,51.00,25.00,47.10
26.00,57.00,29.00,44.90
74.00,68.00,70.00,92.00
37.00,63.00,79.00,81.10
48.00,73.00,22.00,54.30
97.00,92.00,59.00,101.80
99.00,62.00,96.00,115.80
24.00,75.00,60.00,68.10
52.00,80.00,36.00,66.40
29.00,75.00,92.00,89.30
47.00,39.00,74.00,74.90
34.00,35.00,86.00,75.70
52.00,51.00,25.00,51.10
93.00,42.00,78.00,96.60
81.00,100.00,45.00,89.40
100.00,80.00,26.00,79.60
63.00,48.00,61.00,76.20
48.00,51.00,47.00,62.70
27.00,73.00,78.00,79.50
60.00,98.00,95.00,110.40
78.00,79.00,22.00,68.10
99.00,30.00,42.00,73.80
91.00,27.00,71.00,87.10
85.00,95.00,20.00,74.50
51.00,90.00,39.00,70.80
37.00,67.00,96.00,92.50
46.00,94.00,24.00,61.00
51.00,99.00,37.00,72.30
76.00,39.00,63.00,79.90
74.00,70.00,20.00,62.60
53.00,88.00,26.00,63.20
95.00,69.00,90.00,112.70
64.00,38.00,64.00,75.40
68.00,88.00,22.00,66.80
79.00,55.00,66.00,87.70
87.00,39.00,63.00,84.30
85.00,100.00,90.00,118.00
84.00,40.00,52.00,76.80
55.00,70.00,48.00,71.80
47.00,79.00,57.00,76.70
59.00,52.00,56.00,72.80
84.00,83.00,43.00,84.30
27.00,71.00,70.00,74.10
85.00,81.00,75.00,103.30
40.00,52.00,36.00,53.20
58.00,26.00,84.00,81.40
64.00,92.00,59.00,88.60
63.00,68.00,78.00,92.40
79.00,46.00,73.00,89.20
51.00,68.00,24.00,55.20
54.00,63.00,69.00,81.90
75.00,61.00,68.00,89.10
30.00,48.00,33.00,46.20
96.00,65.00,87.00,110.10
43.00,69.00,48.00,66.70
55.00,87.00,42.00,73.30
88.00,59.00,33.00,72.70
57.00,75.00,91.00,99.90
43.00,59.00,56.00,68.50
88.00,100.00,76.00,110.80
24.00,31.00,62.00,56.10
26.00,37.00,68.00,62.30
73.00,36.00,77.00,86.20
70.00,43.00,79.00,88.30
29.00,91.00,93.00,94.70
49.00,66.00,28.00,56.20
53.00,53.00,85.00,88.10
35.00,28.00,73.00,66.20
94.00,83.00,59.00,97.90
24.00,47.00,39.00,47.10
88.00,43.00,78.00,94.90
28.00,25.00,76.00,64.30
53.00,87.00,30.00,65.30
36.00,55.00,46.00,58.50
27.00,66.00,46.00,58.20
39.00,34.00,55.00,58.80
40.00,43.00,47.00,57.10
34.00,68.00,49.00,63.40
97.00,42.00,26.00,67.00
53.00,54.00,87.00,89.60
51.00,84.00,36.00,67.20
74.00,65.00,94.00,105.50
87.00,44.00,54.00,80.40
42.00,55.00,66.00,72.90
83.00,86.00,37.00,81.20
30.00,50.00,46.00,54.60
36.00,75.00,77.00,83.10
51.00,57.00,20.00,49.50
98.00,35.00,73.00,93.50
66.00,29.00,73.00,78.90
48.00,80.00,41.00,67.80
90.00,83.00,63.00,98.70
52.00,46.00,60.00,70.60
61.00,75.00,75.00,91.90
44.00,34.00,32.00,47.00
69.00,32.00,35.00,58.20
35.00,45.00,36.00,49.10
81.00,65.00,33.00,71.70
21.00,44.00,86.00,73.20
90.00,81.00,83.00,110.10
41.00,86.00,52.00,73.40
35.00,79.00,22.00,50.90
38.00,46.00,94.00,85.40
99.00,35.00,83.00,99.90
48.00,54.00,97.00,93.60
98.00,54.00,34.00,75.80
49.00,62.00,52.00,69.40
28.00,72.00,84.00,83.20
39.00,58.00,66.00,72.60
62.00,59.00,74.00,86.90
49.00,60.00,26.00,53.20
90.00,90.00,47.00,91.20
40.00,32.00,49.00,55.00
62.00,75.00,72.00,90.50
21.00,34.00,32.00,37.80
85.00,38.00,75.00,90.40
81.00,70.00,43.00,79.20
42.00,80.00,69.00,82.20
39.00,21.00,92.00,77.10
94.00,96.00,99.00,125.80
43.00,55.00,42.00,58.90
41.00,85.00,41.00,66.50
57.00,95.00,56.00,84.90
64.00,21.00,20.00,43.90
48.00,23.00,29.00,43.50
43.00,29.00,86.00,77.50
100.00,60.00,50.00,88.00
42.00,27.00,83.00,74.70
42.00,99.00,27.00,62.70
99.00,39.00,88.00,104.10
61.00,20.00,95.00,87.40
64.00,60.00,75.00,88.60
100.00,60.00,27.00,74.20
84.00,35.00,76.00,89.70
75.00,32.00,97.00,97.80
67.00,97.00,96.00,113.50
22.00,24.00,34.00,36.40
37.00,76.00,92.00,92.80
49.00,64.00,83.00,88.60
38.00,22.00,60.00,57.80
81.00,45.00,100.00,105.90
25.00,85.00,77.00,81.70
96.00,66.00,93.00,114.00
74.00,84.00,38.00,77.60
24.00,62.00,22.00,41.40
43.00,24.00,34.00,44.80
92.00,47.00,34.00,71.30
50.00,70.00,60.00,77.00
45.00,86.00,65.00,82.80
35.00,40.00,65.00,65.00
44.00,100.00,63.00,85.40
28.00,42.00,21.00,36.40
52.00,65.00,68.00,81.10
32.00,88.00,89.00,92.60
70.00,55.00,97.00,102.70
55.00,90.00,75.00,94.00
71.00,66.00,39.00,71.60
24.00,51.00,27.00,41.10
83.00,53.00,89.00,102.50
89.00,33.00,38.00,68.30
61.00,71.00,56.00,79.30
65.00,46.00,69.00,81.20
90.00,25.00,90.00,97.50
56.00,66.00,32.00,61.40
20.00,33.00,71.00,60.50
60.00,36.00,23.00,48.60
29.00,30.00,22.00,33.80
61.00,26.00,44.00,58.60
81.00,80.00,57.00,90.60
84.00,32.00,96.00,100.80
27.00,53.00,28.00,43.50
92.00,85.00,89.00,115.70
68.00,63.00,21.00,58.70
22.00,73.00,40.00,54.70
54.00,29.00,93.00,86.10
38.00,23.00,60.00,58.10
43.00,73.00,92.00,94.30
59.00,90.00,31.00,69.20
80.00,57.00,69.00,90.50
72.00,81.00,78.00,99.90
22.00,44.00,61.00,58.60
74.00,82.00,22.00,67.40
69.00,91.00,98.00,113.70
22.00,90.00,37.00,58.00
63.00,33.00,23.00,48.90
62.00,61.00,62.00,80.30
33.00,44.00,87.00,78.60
73.00,53.00,22.00,58.30
76.00,88.00,99.00,116.20
43.00,56.00,77.00,80.20
75.00,83.00,82.00,104.10
32.00,77.00,49.00,65.30
81.00,66.00,29.00,69.60
94.00,51.00,42.00,78.10
35.00,57.00,82.00,80.30
64.00,70.00,60.00,82.60
71.00,30.00,99.00,96.80
30.00,93.00,23.00,53.70
24.00,98.00,90.00,93.00
85.00,89.00,78.00,107.50
28.00,78.00,53.00,66.40
38.00,30.00,27.00,40.40
63.00,70.00,20.00,58.20
100.00,45.00,87.00,105.70
72.00,27.00,81.00,85.50
31.00,97.00,47.00,69.70
21.00,85.00,66.00,73.50
100.00,34.00,44.00,76.60
28.00,89.00,25.00,52.90
38.00,84.00,44.00,66.80
47.00,26.00,45.00,53.60
33.00,70.00,33.00,54.00
35.00,77.00,75.00,82.10
32.00,75.00,85.00,86.30
96.00,74.00,68.00,101.40
51.00,66.00,35.00,61.20
46.00,25.00,86.00,77.50
31.00,39.00,79.00,71.50
26.00,92.00,38.00,60.80
54.00,57.00,50.00,68.70
95.00,39.00,22.00,62.90
74.00,56.00,32.00,65.60
99.00,57.00,86.00,108.30
26.00,22.00,33.00,36.80
87.00,61.00,81.00,101.70
41.00,97.00,40.00,69.50
97.00,67.00,49.00,88.30
99.00,41.00,51.00,82.50
73.00,21.00,56.00,69.10
44.00,22.00,27.00,40.40
53.00,72.00,26.00,58.40
34.00,27.00,95.00,78.70
80.00,49.00,40.00,70.70
93.00,75.00,69.00,101.10
25.00,94.00,90.00,92.20
100.00,31.00,20.00,61.30
57.00,75.00,60.00,81.30
80.00,89.00,74.00,103.10
69.00,38.00,72.00,82.20
50.00,70.00,66.00,80.60
68.00,100.00,55.00,90.20
79.00,58.00,79.00,96.40
86.00,44.00,32.00,66.80
37.00,67.00,98.00,93.70
82.00,65.00,35.00,73.30
32.00,45.00,49.00,55.70
76.00,62.00,30.00,67.00
68.00,35.00,23.00,51.50
60.00,96.00,24.00,67.20
73.00,81.00,27.00,69.70
22.00,49.00,48.00,52.30
29.00,97.00,59.00,76.10
44.00,41.00,61.00,66.50
86.00,97.00,73.00,107.30
67.00,23.00,79.00,81.10
72.00,55.00,52.00,76.50
60.00,21.00,34.00,50.70
86.00,79.00,99.00,117.50
37.00,33.00,60.00,60.70
25.00,68.00,52.00,61.60
86.00,29.00,31.00,61.70
67.00,48.00,32.00,60.40
87.00,63.00,64.00,92.10
20.00,75.00,65.00,69.50
94.00,53.00,45.00,80.50
35.00,28.00,64.00,60.80
69.00,21.00,60.00,69.90
68.00,82.00,33.00,71.60
92.00,32.00,42.00,71.60
65.00,61.00,67.00,84.50
86.00,82.00,67.00,99.20
39.00,95.00,39.00,67.50
76.00,79.00,27.00,70.30
58.00,38.00,83.00,84.40
22.00,55.00,76.00,70.90
59.00,93.00,75.00,96.50
72.00,88.00,36.00,76.80
67.00,60.00,98.00,103.60
71.00,46.00,76.00,87.80
63.00,72.00,97.00,105.00
40.00,37.00,33.00,46.90
51.00,72.00,26.00,57.60
91.00,53.00,93.00,108.10
99.00,66.00,83.00,109.20
23.00,75.00,37.00,53.90
21.00,65.00,27.00,44.10
25.00,57.00,61.00,63.70
89.00,33.00,30.00,63.50
88.00,69.00,51.00,86.50
27.00,72.00,63.00,70.20
68.00,24.00,93.00,90.20
80.00,80.00,33.00,75.80
98.00,30.00,33.00,68.00
87.00,26.00,76.00,88.20
51.00,40.00,28.00,49.20
72.00,57.00,82.00,95.10
23.00,61.00,54.00,59.90
25.00,77.00,62.00,70.30
95.00,86.00,55.00,96.80
50.00,29.00,99.00,88.10
85.00,32.00,72.00,86.80
57.00,63.00,59.00,77.10
73.00,99.00,92.00,114.10
31.00,32.00,49.00,51.40
50.00,94.00,30.00,66.20
71.00,94.00,33.00,76.40
24.00,80.00,48.00,62.40
95.00,63.00,88.00,109.70
21.00,99.00,55.00,71.10
36.00,34.00,89.00,78.00
59.00,33.00,28.00,50.30
51.00,23.00,85.00,78.30
76.00,50.00,79.00,92.80
37.00,69.00,34.00,55.90
33.00,33.00,36.00,44.70
43.00,25.00,87.00,76.90
53.00,23.00,75.00,73.10
42.00,44.00,33.00,49.80
88.00,83.00,53.00,91.90
88.00,38.00,34.00,67.00
55.00,72.00,22.00,56.80
90.00,48.00,94.00,106.80
33.00,86.00,58.00,73.80
80.00,91.00,38.00,82.10
46.00,46.00,36.00,53.80
44.00,29.00,60.00,62.30
83.00,80.00,48.00,86.00
42.00,86.00,47.00,70.80
35.00,58.00,44.00,57.80
81.00,43.00,20.00,57.30
55.00,45.00,49.00,64.90
87.00,28.00,24.00,57.60
31.00,78.00,58.00,70.60
45.00,38.00,29.00,46.80
95.00,52.00,77.00,99.80
63.00,32.00,96.00,92.40
40.00,33.00,58.00,60.70
46.00,91.00,63.00,83.50
80.00,33.00,74.00,86.30
41.00,41.00,39.00,52.10
42.00,96.00,48.00,74.40
41.00,61.00,57.00,68.90
22.00,37.00,90.00,73.90
90.00,64.00,35.00,76.20
81.00,24.00,60.00,75.60
52.00,56.00,34.00,58.00
80.00,32.00,69.00,83.00
86.00,35.00,70.00,86.90
35.00,97.00,65.00,82.10
26.00,30.00,96.00,77.00
60.00,89.00,76.00,96.30
28.00,22.00,93.00,73.60
48.00,93.00,71.00,89.70
40.00,63.00,29.00,52.30
98.00,75.00,58.00,96.50
99.00,97.00,38.00,91.50
45.00,83.00,71.00,85.50
61.00,29.00,100.00,93.10
30.00,36.00,55.00,55.80
49.00,47.00,46.00,61.30
96.00,83.00,58.00,98.10
33.00,51.00,26.00,44.10
52.00,77.00,23.00,57.70
85.00,65.00,28.00,70.30
84.00,51.00,25.00,63.90
51.00,31.00,96.00,87.30
88.00,46.00,35.00,70.00
43.00,59.00,60.00,70.90
30.00,51.00,61.00,63.90
48.00,80.00,42.00,68.40
80.00,66.00,38.00,74.60
73.00,88.00,57.00,89.80
42.00,53.00,74.00,77.10
35.00,40.00,61.00,62.60
26.00,87.00,36.00,58.10
96.00,95.00,34.00,87.30
41.00,58.00,84.00,84.20
99.00,45.00,56.00,86.70
80.00,54.00,75.00,93.20
32.00,81.00,38.00,59.90
65.00,33.00,77.00,82.10
47.00,83.00,26.00,59.30
28.00,62.00,40.00,53.80
59.00,97.00,88.00,105.50
30.00,89.00,29.00,56.10
25.00,23.00,56.00,50.50
44.00,55.00,74.00,78.50
72.00,99.00,92.00,113.70
100.00,49.00,48.00,83.50
96.00,87.00,46.00,92.10
22.00,80.00,47.00,61.00
46.00,49.00,37.00,55.30
58.00,20.00,65.00,68.20
32.00,77.00,87.00,88.10
39.00,20.00,93.00,77.40
38.00,22.00,97.00,80.00
89.00,79.00,88.00,112.10
69.00,90.00,67.00,94.80
84.00,89.00,79.00,107.70
27.00,79.00,100.00,94.50
66.00,88.00,52.00,84.00
45.00,37.00,25.00,44.10
49.00,58.00,40.00,61.00
51.00,100.00,98.00,109.20
91.00,46.00,79.00,97.60
32.00,88.00,93.00,95.00
83.00,97.00,89.00,115.70
79.00,93.00,26.00,75.10
51.00,98.00,20.00,61.80
27.00,27.00,46.00,46.50
42.00,87.00,77.00,89.10
35.00,95.00,46.00,70.10
89.00,40.00,67.00,87.80
37.00,42.00,47.00,55.60
35.00,77.00,51.00,67.70
42.00,40.00,64.00,67.20
28.00,64.00,35.00,51.40
100.00,89.00,94.00,123.10
